# pos	SRR10903401-20200102	SRR10903402-20200102
0	4	0
1	4	1
2	4	1
3	4	1
4	4	1
5	4	1
6	4	1
7	4	1
8	4	1
9	4	1
10	4	1
11	4	1
12	4	1
13	4	1
14	4	1
15	4	1
16	4	1
17	4	1
18	4	1
19	4	1
20	4	1
21	4	1
22	4	1
23	4	1
24	4	1
25	5	1
26	5	1
27	5	1
28	5	1
29	5	1
30	5	1
31	6	1
32	6	1
33	6	1
34	6	1
35	6	1
36	6	1
37	6	5
38	6	5
39	6	5
40	6	5
41	6	6
42	6	6
43	6	6
44	6	6
45	6	6
46	6	6
47	6	6
48	6	6
49	6	6
50	6	6
51	6	6
52	6	6
53	6	6
54	6	6
55	6	6
56	6	6
57	6	6
58	6	6
59	6	8
60	6	8
61	6	8
62	6	8
63	7	8
64	7	8
65	7	8
66	7	8
67	7	8
68	7	8
69	7	8
70	7	8
71	7	8
72	7	8
73	7	8
74	5	9
75	5	9
76	3	10
77	3	10
78	3	12
79	3	12
80	3	13
81	3	14
82	3	14
83	4	14
84	4	14
85	4	15
86	5	15
87	6	15
88	6	15
89	6	15
90	6	17
91	8	22
92	8	22
93	8	22
94	8	22
95	9	23
96	11	23
97	11	24
98	11	24
99	11	25
100	11	25
101	11	25
102	11	27
103	11	27
104	11	27
105	12	27
106	12	28
107	12	28
108	12	28
109	12	28
110	12	29
111	12	30
112	12	30
113	12	31
114	12	31
115	12	31
116	12	31
117	12	31
118	12	31
119	12	31
120	14	31
121	14	31
122	14	31
123	14	32
124	15	32
125	15	32
126	15	32
127	15	33
128	17	33
129	17	33
130	17	33
131	17	35
132	19	37
133	19	37
134	19	37
135	19	37
136	19	37
137	19	40
138	19	40
139	19	41
140	19	42
141	19	46
142	19	46
143	19	46
144	19	47
145	19	49
146	18	51
147	18	52
148	18	53
149	18	51
150	18	51
151	19	51
152	19	51
153	21	57
154	21	57
155	21	57
156	21	57
157	22	57
158	24	57
159	24	57
160	24	57
161	24	58
162	24	58
163	24	58
164	24	56
165	24	58
166	24	58
167	24	58
168	24	58
169	24	58
170	24	59
171	24	59
172	24	59
173	24	59
174	24	59
175	24	58
176	24	58
177	24	58
178	25	59
179	25	60
180	25	61
181	25	62
182	24	63
183	24	63
184	24	64
185	24	64
186	24	64
187	24	64
188	24	65
189	24	64
190	24	64
191	24	66
192	24	68
193	24	68
194	24	70
195	24	70
196	24	72
197	24	71
198	24	72
199	22	74
200	22	74
201	22	74
202	23	73
203	23	73
204	24	73
205	24	74
206	24	76
207	23	78
208	23	81
209	23	82
210	23	81
211	24	82
212	24	82
213	24	82
214	23	81
215	23	81
216	23	81
217	23	81
218	24	81
219	23	82
220	22	84
221	22	83
222	22	83
223	22	84
224	23	86
225	23	85
226	23	85
227	23	85
228	23	86
229	24	89
230	24	91
231	24	91
232	23	90
233	24	91
234	23	91
235	24	94
236	24	97
237	23	98
238	24	102
239	24	103
240	25	103
241	26	105
242	26	106
243	27	107
244	29	107
245	29	108
246	28	109
247	28	111
248	30	114
249	31	114
250	31	116
251	32	118
252	32	119
253	32	119
254	33	122
255	33	120
256	32	122
257	32	121
258	32	119
259	32	119
260	32	119
261	33	121
262	33	122
263	33	123
264	33	123
265	33	124
266	33	125
267	33	125
268	33	124
269	33	125
270	33	125
271	31	125
272	31	125
273	31	124
274	31	126
275	31	126
276	32	126
277	32	129
278	32	131
279	32	132
280	31	132
281	31	132
282	31	132
283	31	132
284	32	132
285	34	132
286	35	132
287	36	132
288	36	131
289	36	131
290	36	131
291	37	131
292	37	130
293	37	130
294	37	130
295	37	128
296	37	126
297	37	123
298	37	122
299	37	122
300	37	122
301	37	124
302	37	123
303	38	123
304	38	123
305	38	124
306	39	124
307	40	125
308	40	126
309	38	127
310	38	127
311	38	127
312	38	126
313	38	128
314	38	128
315	38	128
316	38	128
317	38	128
318	38	129
319	38	129
320	39	128
321	40	128
322	40	129
323	40	131
324	40	132
325	39	132
326	39	130
327	38	129
328	38	129
329	37	129
330	37	128
331	38	130
332	38	131
333	39	131
334	39	130
335	39	130
336	39	131
337	39	133
338	39	133
339	40	134
340	40	133
341	40	135
342	41	139
343	42	135
344	44	137
345	45	138
346	45	138
347	45	137
348	47	139
349	47	139
350	47	139
351	47	140
352	47	141
353	46	141
354	46	142
355	45	142
356	45	143
357	45	145
358	45	147
359	45	147
360	45	146
361	45	145
362	44	147
363	44	144
364	44	144
365	44	144
366	44	146
367	44	146
368	43	146
369	43	146
370	44	144
371	44	143
372	44	143
373	44	143
374	44	142
375	44	143
376	44	143
377	45	143
378	44	141
379	44	137
380	46	139
381	46	144
382	46	143
383	47	142
384	46	140
385	46	140
386	44	136
387	44	135
388	44	134
389	42	129
390	42	129
391	42	128
392	42	127
393	40	127
394	38	129
395	38	130
396	38	128
397	39	127
398	38	128
399	38	128
400	37	127
401	37	126
402	37	129
403	38	129
404	38	128
405	37	127
406	37	127
407	37	123
408	37	125
409	37	126
410	37	125
411	37	126
412	37	124
413	37	122
414	37	122
415	37	123
416	37	123
417	37	123
418	37	126
419	37	125
420	36	125
421	36	124
422	36	125
423	36	125
424	36	126
425	36	125
426	35	127
427	34	127
428	34	123
429	33	126
430	33	127
431	33	127
432	33	127
433	33	128
434	32	125
435	33	125
436	31	124
437	30	124
438	30	125
439	30	122
440	31	123
441	30	125
442	30	125
443	30	126
444	30	127
445	31	127
446	31	128
447	32	130
448	33	131
449	34	138
450	33	138
451	32	140
452	32	139
453	32	140
454	32	140
